cause,annual_change_global,pct_deaths_global,who_category,pct_deaths_colombia
Psoriasis,0.0,0.0,No Transmisibles (Crónicas),
Rabies,-0.08199937,0.000208385,No Transmisibles (Crónicas),
Rheumatic heart disease,-0.017482948,0.00510349,No Transmisibles (Crónicas),
Rheumatoid arthritis,0.006703645,0.000845003,No Transmisibles (Crónicas),
Road injuries,-0.010375795,0.022219143,Lesiones (Accidentes/Violencia),0.031464168980423854
Scabies,0.0,0.0,No Transmisibles (Crónicas),
Schistosomiasis,-0.030637965,0.00015795,No Transmisibles (Crónicas),
Schizophrenia,0.0,0.0,No Transmisibles (Crónicas),
Self-harm,-0.015167672,0.014189188,Lesiones (Accidentes/Violencia),0.011909991916493867
Sexually transmitted infections excluding HIV,-0.030372487,0.002128562,No Transmisibles (Crónicas),
Stomach cancer,-0.014427292,0.015461214,No Transmisibles (Crónicas),0.02284908445506625
Stroke,-0.006986486,0.110237083,No Transmisibles (Crónicas),
Sudden infant death syndrome,-0.031187378,0.000714247,No Transmisibles (Crónicas),
Testicular cancer,-0.003345396,0.00013695,No Transmisibles (Crónicas),
Tetanus,-0.112125959,0.000681614,No Transmisibles (Crónicas),
Thyroid cancer,0.016030006,0.000737055,No Transmisibles (Crónicas),
"Tracheal, bronchus, and lung cancer",0.009495951,0.033658852,No Transmisibles (Crónicas),
Trachoma,0.0,0.0,No Transmisibles (Crónicas),
Tuberculosis,-0.032548776,0.021157376,Transmisibles (Infecciosas/Maternas),0.00448986047165501
Typhoid and paratyphoid,-0.032146392,0.002429596,Transmisibles (Infecciosas/Maternas),
Upper digestive system diseases,-0.021066596,0.005221383,No Transmisibles (Crónicas),
Upper respiratory infections,-0.072411543,0.000162867,No Transmisibles (Crónicas),
Urinary diseases and male infertility,0.016999724,0.004847418,No Transmisibles (Crónicas),
Urticaria,0.0,0.0,No Transmisibles (Crónicas),
Uterine cancer,0.00384008,0.001523601,No Transmisibles (Crónicas),
Varicella and herpes zoster,-0.031183622,0.000278669,No Transmisibles (Crónicas),
Vascular intestinal disorders,0.007111251,0.001716876,No Transmisibles (Crónicas),
Viral skin diseases,0.0,0.0,No Transmisibles (Crónicas),
Vitamin A deficiency,0.0,0.0,No Transmisibles (Crónicas),
Whooping cough,-0.044732983,0.001640801,No Transmisibles (Crónicas),
Yellow fever,-0.038747964,8.554714704e-05,No Transmisibles (Crónicas),
Zika virus,0.0,3.467865475e-07,Transmisibles (Infecciosas/Maternas),
