GRUPOS DE CAUSAS DE DEFUNCIÓN (LISTA DE CAUSAS AGRUPADAS 6/67 CIE-10 DE OPS),TOTAL,Total,,,Menor 1 año,,,De 1-4 años,,,De 5-14 años,,,De 15-44 años,,,De 45-64 años,,,De 65-84 años,,,De 85-99 años,,,De 100 y más,,,Edad desconocida,,
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado
401 FETO Y RECIEN NACIDO AFECTADOS POR CIERTAS AFECC. MATERNAS,139,73,66,0,73,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402 FETO Y RECIEN N. AFECTADOS POR COMPL. OBST. Y TRAUM. NACIMIENTO,313,166,147,0,166,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"403 RETARDO CRECIM.FETAL, DESNUTR. FETAL., BAJO P./ NACER, GEST.CORTA",240,143,97,0,143,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404 TRAST. RESPIRATORIOS ESPECIFICOS DEL PERIODO PERINATAL,1479,850,625,4,819,601,4,8,6,0,7,8,0,14,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
405 SEPSIS BACTERIANA DEL RECIEN NACIDO,721,402,319,0,400,319,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406 ENF. HEMOLITICA DEL FETO Y DEL RECIEN N. Y KERNICTERUS,28,17,11,0,13,10,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407 OTRAS AFECC. ORIGINADAS EN PERIODO PERINATAL,849,510,338,1,500,335,1,7,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501 ACC. TRANSPORTE TERRESTRE, INCLUSIVE SECUELAS",7162,5841,1321,0,9,4,0,47,29,0,111,57,0,3383,663,0,1378,285,0,798,254,0,113,28,0,0,0,0,2,1,0
"502 OTROS ACC. TRANSPORTE Y LOS NO ESP., INCLUSIVE SECUELAS",62,44,18,0,0,0,0,0,2,0,1,1,0,23,9,0,16,2,0,4,4,0,0,0,0,0,0,0,0,0,0
503 CAIDAS,1255,887,368,0,4,2,0,9,5,0,8,10,0,158,27,0,281,43,0,307,141,0,119,134,0,1,6,0,0,0,0
504 ACC. CAUSADOS POR MAQUINAS Y POR INSTR. CORTANTES/PUNZANTES,36,34,2,0,0,0,0,0,1,0,0,0,0,21,0,0,10,0,0,3,1,0,0,0,0,0,0,0,0,0,0
505 ACC. CAUSADOS POR DISPARO DE ARMAS DE FUEGO,35,31,4,0,0,0,0,0,0,0,6,1,0,21,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506 AHOGAMIENTO Y SUMERSION ACCIDENTALES,811,701,108,2,3,1,0,66,28,0,79,35,0,381,26,2,104,9,0,60,7,0,8,1,0,0,0,0,0,1,0
"507 EXPOSICION AL HUMO, FUEGO Y LLAMAS",124,82,42,0,1,0,0,3,4,0,10,7,0,34,11,0,18,4,0,13,11,0,3,5,0,0,0,0,0,0,0
"508 ENVENENAMIENTO. ACC. POR, Y EXPOSICION A SUSTANC.NOCIVAS",209,174,35,0,0,1,0,7,2,0,2,1,0,113,22,0,42,6,0,9,3,0,1,0,0,0,0,0,0,0,0
"509 COMPLICAC.DE LA ATENC. MEDICA Y QUIRURG., INCLUSIVE SECUELAS",318,149,168,1,1,4,0,4,2,0,3,2,0,27,27,0,33,27,0,53,67,0,27,39,0,1,0,1,0,0,0
"510 OTROS ACCIDENTES, INCLUSIVE SECUELAS",1824,1349,475,0,18,8,0,62,47,0,76,55,0,559,147,0,367,84,0,211,87,0,54,45,0,1,1,0,1,1,0
"511 LESIONES AUTOINFLIGIDAS INTENC.(SUICIDIOS), INCL. SECUELAS",2711,2204,507,0,0,0,0,0,0,0,67,43,0,1364,361,0,521,80,0,229,22,0,22,1,0,1,0,0,0,0,0
"512 AGRESIONES (HOMICIDIOS), INCLUSIVE SECUELAS",12093,11021,1068,4,16,6,1,20,11,0,71,41,0,8917,772,2,1695,180,0,281,53,0,14,4,0,0,0,0,7,1,1
"513 INTERVENCION LEGAL Y OPERAC. DE GUERRA, INCL. SECUELAS",17,16,1,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"514 EVENTOS DE INTENCION NO DETERMINADA, INCL. SECUELAS",2011,1557,434,20,18,9,1,24,15,0,26,16,1,680,112,4,407,67,6,300,120,3,95,94,1,3,1,1,4,0,3
601 DIABETES MELLITUS,7500,3383,4117,0,0,0,0,1,2,0,4,4,0,119,131,0,907,854,0,1802,2145,0,540,961,0,10,20,0,0,0,0
602 DEFICIENCIAS NUTRICIONALES Y ANEMIAS NUTRICIONALES,1613,852,761,0,81,83,0,49,41,0,12,4,0,56,33,0,120,59,0,301,238,0,225,291,0,8,12,0,0,0,0
603 TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,637,261,376,0,0,0,0,1,0,0,2,2,0,3,1,0,12,20,0,113,123,0,120,217,0,10,13,0,0,0,0
"604 ENF. SISTEMA NERVIOSO, EXCEPTO MENINGITIS",3614,1831,1783,0,41,29,0,58,34,0,86,110,0,424,275,0,371,255,0,568,602,0,278,470,0,5,7,0,0,1,0
605 ENF. CRONICAS VIAS REPIRATORIAS INFERIORES,14467,7163,7304,0,1,0,0,8,3,0,3,3,0,50,33,0,602,414,0,3763,3222,0,2662,3510,0,74,119,0,0,0,0
606 OTRAS ENF. DE LAS VIAS RESPIRATORIAS SUPERIORES,41,17,24,0,0,2,0,1,0,0,1,3,0,6,6,0,3,3,0,4,9,0,2,1,0,0,0,0,0,0,0
607 ENF. DEL PULMON DEBIDAS A AGENTES EXTERNOS,1723,956,767,0,3,5,0,3,1,0,3,0,0,36,9,0,112,50,0,461,307,0,330,375,0,8,20,0,0,0,0
608 OTRAS ENFERMEDADES RESPIRATORIAS,2131,1088,1043,0,21,22,0,12,10,0,6,7,0,69,45,0,182,153,0,532,413,0,260,378,0,6,15,0,0,0,0
"609 APENDICITIS, HERNIA CAVIDAD ABDOMINAL Y OBSTR. INTESTINAL",1583,778,805,0,11,7,0,3,6,0,15,9,0,64,52,0,145,95,0,384,396,0,153,239,0,3,1,0,0,0,0
610 CIERTAS ENF. CRONICAS DEL HIGADO Y CIRROSIS,2699,1644,1055,0,2,1,0,3,1,0,2,4,0,103,45,0,702,293,0,710,612,0,121,99,0,1,0,0,0,0,0
611 OTRAS ENF. SISTEMA DIGESTIVO,6598,3254,3344,0,33,26,0,12,14,0,14,13,0,198,169,0,635,515,0,1689,1643,0,659,938,0,14,26,0,0,0,0
612 ENFERMEDADES SISTEMA URINARIO,6579,3444,3135,0,21,10,0,14,8,0,13,9,0,148,153,0,542,474,0,1708,1400,0,967,1042,0,31,39,0,0,0,0
613 HIPERPLASIA DE LA PROSTATA,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,145,0,0,131,0,0,7,0,0,0,0,0
"614 EMBARAZO, PARTO Y PUERPERIO",485,0,485,0,0,0,0,0,0,0,0,3,0,0,480,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"615 MALFORMACIONES CONGEN., DEFORMID.Y ANOMALIAS CROMOSOMICAS",2383,1345,1037,1,1044,792,1,88,78,0,50,45,0,100,64,0,43,38,0,17,19,0,3,1,0,0,0,0,0,0,0
616 RESIDUO,4853,1854,2999,0,37,38,0,35,34,0,58,47,0,269,481,0,352,575,0,710,981,0,377,808,0,16,35,0,0,0,0
"700 SINTOMAS, SIGNOS Y AFECCIONES MAL DEFINIDAS",3620,2024,1574,22,116,55,0,28,26,0,24,16,0,335,185,5,405,209,5,620,493,4,473,547,2,23,43,4,0,0,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: DANE - Estadísticas Vitales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
